,nameRest,latitudeRest,longitudeRest,rating,code
390,La Puerta Verde,38.91475,-76.98451,4.0,DC
391,Cielo Rojo,38.97522,-77.01055,4.5,MD
392,El Rey,38.9171363,-77.0248018,3.5,DC
393,Taco City DC,38.87733,-76.99469,4.5,DC
394,Estadio,38.9101686345639,-77.0320932872478,4.0,DC
395,Taqueria Los Primos,39.1135056,-76.8348075,4.5,MD
396,Little Miner Taco,38.939078,-76.954935,4.0,MD
397,Urbano 116,38.80419,-77.04094,4.0,VA
398,El Paso Cafe,38.87344,-77.10627,4.0,VA
399,Anafre,38.93742,-77.03309,4.5,DC
400,El Tapatio,36.6993921485938,-95.6299075322822,4.0,OK
401,Super Centro La Tienda El Rincon,36.750163,-95.96319,4.5,OK
402,El Pueblito Mexican Restaurant,37.0378861,-95.5987,4.0,KS
403,Sabores Mexican Cuisine,36.78761,-95.93522,4.0,OK
404,El charro,37.032782,-95.620188,3.0,KS
405,Forasteros Mexican Food,37.0113773459704,-95.9364105015993,3.0,KS
406,Litos Mexican Restaurant,36.7129415,-95.9352549,5.0,OK
407,El Maguey Mexican Grill & Cantina,36.7239618,-95.934269,3.5,OK
408,Tacos Pachitas,36.75143,-95.98395,4.5,OK
409,La Fiesta,36.787009,-95.935717,1.5,OK
410,La Fiesta Mexican Restaurant,36.7318384691651,-95.9349074587226,3.0,OK
411,Fridas Cocina Mexicana,36.743759977588,-95.9167200699449,4.0,OK
412,Senor Salsa,36.746530404936,-95.936106431331,3.5,OK
413,Tacos Maria,36.751268508257,-95.9331006747859,4.5,OK
414,Monterey's Little Mexico,36.7445499,-95.9331799,3.0,OK
415,El Corral Mexican Restaurant,36.750382,-95.965936,5.0,OK
416,El Burrito Azteca,36.7504168,-95.9629759,5.0,OK
417,Painted Horse,36.7514835457086,-95.9779620951496,4.0,OK
418,Shorties Grille,36.75042,-95.976477,4.0,OK
419,Frank & Lola's,36.7521890887144,-95.9755241498351,4.0,OK
420,Taco Bell,37.034135,-95.64268,1.5,KS
